Config Number,t2,a,w2,t3,w1,t1,Mass (kg),Max Von Mises Stress (MPa),Max Displacement (mm)
317,40,72,240,72,120,50,434.675 kg,3.74941 MPa,0.0293858 mm
318,40,72,240,72,120,60,454.835 kg,3.2865 MPa,0.025455 mm
319,40,72,240,72,150,40,434.675 kg,3.58312 MPa,0.0311655 mm
320,40,72,240,72,150,50,459.875 kg,3.21649 MPa,0.0263025 mm
321,40,72,240,72,150,60,485.075 kg,2.91669 MPa,0.0226104 mm
322,40,72,240,72,180,40,454.835 kg,3.45392 MPa,0.0286643 mm
323,40,72,240,72,180,50,485.075 kg,2.96326 MPa,0.0239818 mm
324,40,72,240,72,180,60,515.315 kg,2.66439 MPa,0.0205657 mm
325,40,90,160,48,120,40,266.935 kg,6.38321 MPa,0.0470701 mm
326,40,90,160,48,120,50,287.095 kg,9.58007 MPa,0.0393138 mm
327,40,90,160,48,120,60,307.255 kg,9.53644 MPa,0.0333514 mm
328,40,90,160,48,150,40,287.095 kg,5.50172 MPa,0.0421 mm
329,40,90,160,48,150,50,312.295 kg,8.24521 MPa,0.0349536 mm
330,40,90,160,48,150,60,337.495 kg,8.17784 MPa,0.0296832 mm
331,40,90,160,48,180,40,307.255 kg,7.51016 MPa,0.0385223 mm
332,40,90,160,48,180,50,337.495 kg,7.17714 MPa,0.0318579 mm
333,40,90,160,48,180,60,367.735 kg,7.53777 MPa,0.0270263 mm
334,40,90,160,60,120,40,299.191 kg,4.98023 MPa,0.0391211 mm
335,40,90,160,60,120,50,319.351 kg,5.68151 MPa,0.0329543 mm
336,40,90,160,60,120,60,339.511 kg,4.10236 MPa,0.0282886 mm
337,40,90,160,60,150,40,319.351 kg,7.48565 MPa,0.0348125 mm
338,40,90,160,60,150,50,344.551 kg,5.28808 MPa,0.0293416 mm
339,40,90,160,60,150,60,369.751 kg,6.01078 MPa,0.0251421 mm
340,40,90,160,60,180,40,339.511 kg,4.75471 MPa,0.0322008 mm
341,40,90,160,60,180,50,369.751 kg,4.93114 MPa,0.0268069 mm
342,40,90,160,60,180,60,399.991 kg,7.97238 MPa,0.0229325 mm
343,40,90,160,72,120,40,331.447 kg,4.95345 MPa,0.0330863 mm
344,40,90,160,72,120,50,351.607 kg,3.84743 MPa,0.0267247 mm
345,40,90,160,72,120,60,371.767 kg,3.32699 MPa,0.0230805 mm
346,40,90,160,72,150,40,351.607 kg,4.60198 MPa,0.0296636 mm
347,40,90,160,72,150,50,376.807 kg,2.88554 MPa,0.0238318 mm
348,40,90,160,72,150,60,402.007 kg,3.28415 MPa,0.0206724 mm
349,40,90,160,72,180,40,371.767 kg,6.11814 MPa,0.0270912 mm
350,40,90,160,72,180,50,402.007 kg,3.65071 MPa,0.0220184 mm
351,40,90,160,72,180,60,432.247 kg,3.0344 MPa,0.0189165 mm
